Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,13175.000000,13425.000000,13150.000000,13225.000000,12190.282227,15495900
2016-01-05,13200.000000,13550.000000,13200.000000,13375.000000,12328.543945,19321800
2016-01-06,13325.000000,13500.000000,13200.000000,13200.000000,12167.236328,21074000
2016-01-07,13100.000000,13150.000000,13000.000000,13000.000000,11982.885742,29349300
2016-01-08,12950.000000,13100.000000,12950.000000,13000.000000,11982.885742,25164000
2016-01-11,12950.000000,12975.000000,12750.000000,12750.000000,11752.445313,15190400
2016-01-12,12900.000000,13225.000000,12900.000000,13100.000000,12075.060547,17218700
2016-01-13,13225.000000,13300.000000,13150.000000,13175.000000,12144.193359,15317400
2016-01-14,13000.000000,13150.000000,12975.000000,13025.000000,12005.929688,23842700
2016-01-15,13100.000000,13150.000000,13000.000000,13000.000000,11982.885742,13665200
2016-01-18,12850.000000,13100.000000,12825.000000,12975.000000,11959.840820,16263400
2016-01-19,13050.000000,13100.000000,12950.000000,13075.000000,12052.016602,10942200
2016-01-20,13000.000000,13075.000000,12975.000000,13025.000000,12005.929688,15135200
2016-01-21,13050.000000,13050.000000,12950.000000,12950.000000,11936.797852,15387600
2016-01-22,13050.000000,13100.000000,12950.000000,13000.000000,11982.885742,14302200
2016-01-25,13200.000000,13225.000000,13025.000000,13125.000000,12098.104492,11367100
2016-01-26,13050.000000,13150.000000,12975.000000,13000.000000,11982.885742,11428600
2016-01-27,13100.000000,13200.000000,13075.000000,13100.000000,12075.060547,24455700
2016-01-28,13100.000000,13275.000000,13100.000000,13150.000000,12121.150391,25354800
2016-01-29,13200.000000,13225.000000,12975.000000,13100.000000,12075.060547,35139600
2016-02-01,13100.000000,13225.000000,12975.000000,13225.000000,12190.282227,17874200
2016-02-02,13225.000000,13225.000000,13075.000000,13100.000000,12075.060547,19326200
2016-02-03,13000.000000,13100.000000,12975.000000,13050.000000,12028.974609,13045800
2016-02-04,13000.000000,13250.000000,13000.000000,13150.000000,12121.150391,16574800
2016-02-05,13100.000000,13575.000000,13100.000000,13425.000000,12374.632813,53026700
2016-02-09,13400.000000,13425.000000,13200.000000,13300.000000,12259.412109,10903300
2016-02-10,13250.000000,13400.000000,13250.000000,13275.000000,12236.369141,13800300
2016-02-11,13200.000000,13550.000000,13200.000000,13350.000000,12305.500977,31917200
2016-02-12,13375.000000,13550.000000,13250.000000,13275.000000,12236.369141,24212500
2016-02-15,13400.000000,13450.000000,13325.000000,13350.000000,12305.500977,12890500
2016-02-16,13325.000000,13525.000000,13325.000000,13400.000000,12351.588867,20107700
2016-02-17,13400.000000,13475.000000,13350.000000,13400.000000,12351.588867,15281300
2016-02-18,13500.000000,13575.000000,13400.000000,13400.000000,12351.588867,29305700
2016-02-19,13300.000000,13300.000000,12925.000000,13050.000000,12028.974609,29542400
2016-02-22,13025.000000,13250.000000,13000.000000,13175.000000,12144.193359,11131600
2016-02-23,13200.000000,13275.000000,13025.000000,13100.000000,12075.060547,18498400
2016-02-24,13025.000000,13150.000000,12875.000000,13025.000000,12005.929688,16959900
2016-02-25,13100.000000,13200.000000,13025.000000,13075.000000,12052.016602,14801600
2016-02-26,13150.000000,13500.000000,13150.000000,13350.000000,12305.500977,28235000
2016-02-29,13500.000000,13525.000000,13375.000000,13475.000000,12420.720703,27767400
2016-03-01,13475.000000,13550.000000,13350.000000,13400.000000,12351.588867,15918100
2016-03-02,13525.000000,13550.000000,13325.000000,13450.000000,12397.677734,25213900
2016-03-03,13425.000000,13550.000000,13425.000000,13525.000000,12466.808594,23011500
2016-03-04,13600.000000,13700.000000,13525.000000,13575.000000,12512.896484,20469400
2016-03-07,13600.000000,13650.000000,13500.000000,13575.000000,12512.896484,21124600
2016-03-08,13500.000000,13575.000000,13200.000000,13400.000000,12351.588867,22024400
2016-03-10,13325.000000,13450.000000,13150.000000,13400.000000,12351.588867,21814700
2016-03-11,13400.000000,13400.000000,13400.000000,13400.000000,12351.588867,0
2016-03-14,13400.000000,13400.000000,13400.000000,13400.000000,12351.588867,0
2016-03-15,13575.000000,13600.000000,13500.000000,13575.000000,12512.896484,14014400
2016-03-16,13600.000000,13625.000000,13525.000000,13600.000000,12535.943359,14411600
2016-03-17,13675.000000,13850.000000,13625.000000,13725.000000,12651.161133,25074200
2016-03-18,13650.000000,13925.000000,13550.000000,13700.000000,12628.119141,24191000
2016-03-21,13700.000000,13900.000000,13650.000000,13775.000000,12697.250977,9244800
2016-03-22,13750.000000,13750.000000,13575.000000,13650.000000,12582.030273,9486800
2016-03-23,13650.000000,13650.000000,13425.000000,13500.000000,12443.765625,10425600
2016-03-24,13400.000000,13450.000000,13250.000000,13325.000000,12282.457031,14642900
2016-03-28,13325.000000,13325.000000,13050.000000,13175.000000,12144.193359,11965900
2016-03-29,13175.000000,13225.000000,13075.000000,13075.000000,12052.016602,17764500
2016-03-30,13125.000000,13450.000000,13125.000000,13125.000000,12098.104492,27417200
2016-03-31,13275.000000,13325.000000,13175.000000,13300.000000,12259.412109,21590200
2016-04-01,13300.000000,13325.000000,13200.000000,13300.000000,12259.412109,14760500
2016-04-04,13425.000000,13425.000000,13300.000000,13325.000000,12282.457031,9926100
2016-04-05,13325.000000,13450.000000,13300.000000,13325.000000,12282.457031,16740100
2016-04-06,13300.000000,13425.000000,13050.000000,13050.000000,12028.974609,17852800
2016-04-07,13200.000000,13250.000000,13100.000000,13100.000000,12075.060547,20263700
2016-04-08,13100.000000,13200.000000,13075.000000,13075.000000,12052.016602,14094700
2016-04-11,13075.000000,13075.000000,13075.000000,13075.000000,12052.016602,0
2016-04-12,13000.000000,13125.000000,12975.000000,13050.000000,12028.974609,11345400
2016-04-13,13050.000000,13050.000000,13050.000000,13050.000000,12028.974609,0
2016-04-14,13050.000000,13050.000000,13050.000000,13050.000000,12028.974609,0
2016-04-15,13050.000000,13050.000000,13050.000000,13050.000000,12126.543945,0
2016-04-18,13050.000000,13050.000000,13050.000000,13050.000000,12126.543945,0
2016-04-19,13050.000000,13050.000000,13050.000000,13050.000000,12126.543945,0
2016-04-20,13025.000000,13150.000000,13000.000000,13100.000000,12173.003906,13862600
2016-04-21,13100.000000,13125.000000,13000.000000,13100.000000,12173.003906,12517200
2016-04-22,13100.000000,13150.000000,13050.000000,13125.000000,12196.236328,7852800
2016-04-25,13100.000000,13125.000000,12925.000000,13100.000000,12173.003906,12415800
2016-04-26,13050.000000,13050.000000,12775.000000,12950.000000,12033.620117,25947500
2016-04-27,12950.000000,13050.000000,12925.000000,13050.000000,12126.543945,12837100
2016-04-28,13125.000000,13175.000000,13000.000000,13025.000000,12103.313477,13770800
2016-04-29,13025.000000,13125.000000,13000.000000,13050.000000,12126.543945,12200300
2016-05-02,13100.000000,13125.000000,12975.000000,13100.000000,12173.003906,5209600
2016-05-03,13125.000000,13175.000000,13025.000000,13050.000000,12126.543945,16444900
2016-05-04,13050.000000,13100.000000,13025.000000,13100.000000,12173.003906,15109000
2016-05-09,13100.000000,13200.000000,13050.000000,13125.000000,12196.236328,18289200
2016-05-10,13050.000000,13300.000000,13050.000000,13175.000000,12242.698242,31665600
2016-05-11,13150.000000,13300.000000,13100.000000,13150.000000,12219.466797,18296000
2016-05-12,13100.000000,13200.000000,13100.000000,13150.000000,12219.466797,8651900
2016-05-13,13000.000000,13200.000000,13000.000000,13150.000000,12219.466797,15137200
2016-05-16,13100.000000,13100.000000,12950.000000,13025.000000,12103.313477,16815400
2016-05-17,13025.000000,13050.000000,12900.000000,13000.000000,12080.082031,12965800
2016-05-18,12900.000000,13050.000000,12900.000000,13025.000000,12103.313477,13354200
2016-05-19,13000.000000,13025.000000,12950.000000,12975.000000,12056.849609,21176300
2016-05-20,12950.000000,13025.000000,12950.000000,13025.000000,12103.313477,13600800
2016-05-23,13000.000000,13100.000000,12925.000000,13100.000000,12173.003906,6349700
2016-05-24,13050.000000,13075.000000,12975.000000,12975.000000,12056.849609,13831400
2016-05-25,13000.000000,13025.000000,12875.000000,13000.000000,12080.082031,16830100
2016-05-26,13075.000000,13075.000000,12900.000000,13025.000000,12103.313477,8411000
2016-05-27,13000.000000,13025.000000,12900.000000,13000.000000,12080.082031,16162300
2016-05-30,13025.000000,13300.000000,12975.000000,13200.000000,12265.928711,19866000
2016-05-31,13300.000000,13300.000000,13000.000000,13000.000000,12080.082031,32144800
